Customer_ID,Loan_ID,Age,Income_INR,Employment_Years,Marital_Status,Education_Level,Credit_History_Length,Savings_Account_Balance,Loan_Type,Loan_Amount,Loan_Tenure_Months,Interest_Rate_Pct,EMI_Amount,Pay_History,Delinquency_12M,Credit_Card_Utilization,Behavior_Spending_Score,Behavior_Repayment_Score,No_of_Open_Accounts,Total_Credit_Limit,Total_Current_Balance,Credit_Utilization_Ratio,No_of_Inquiries_6M,DPD_30,DPD_60,DPD_90,Worst_Current_Status,Oldest_Trade_Open_Months,Outstanding_Loans,Avg_Balance_6M,Bounce_Count_6M,Transaction_Count_3M,Max_DPD_12M,Missed_Payment_Count,Collateral_Value,LTV_Ratio,Default,Default_Date,Disbursal_Date,Vintage_Q,MOB_at_default,MOB_on_book,Target,sample
204,LOAN00204,55,2019629,8,Single,Postgraduate,14,582650,Personal Loan,243502,36,13.05,8210,Good,3,0.97,27,52,4,2545277,976656,0.82,1,0,0,0,0,95,7,538613,2,52,90,3,,,0,,2020-06-18,2020Q2,,42,0,train
55,LOAN00055,61,2223583,9,Single,Postgraduate,4,262617,Personal Loan,1668449,36,16.16,58789,Good,0,0.2,32,92,3,2131774,950792,0.26,3,1,1,0,0,124,1,233171,2,95,90,0,,,1,2020-05-24,2019-04-16,2019Q2,13.0,56,1,train
301,LOAN00301,25,613322,20,Married,Graduate,5,681099,Business Loan,837871,12,10.1,73701,Good,3,0.02,71,79,2,1146881,11489,0.18,2,1,0,0,0,192,8,700211,2,134,30,3,1396572.0,0.5999,0,,2020-07-17,2020Q3,,41,0,train
366,LOAN00366,38,1329945,25,Married,Graduate,15,741774,Education Loan,763260,72,19.22,17938,Good,0,0.76,9,27,8,738147,107793,0.74,3,1,0,0,0,109,5,756085,2,22,60,0,,,1,2023-09-25,2021-06-12,2021Q2,27.0,30,1,train
27,LOAN00027,57,1292563,17,Married,High School,10,878768,Home Loan,1213104,48,11.9,31886,Good,1,0.49,8,3,4,1347741,1385630,0.1,0,0,0,0,0,27,0,937832,3,32,60,1,1745247.0,0.6951,0,,2020-03-11,2020Q1,,45,0,train
243,LOAN00243,27,2157552,6,Divorced,High School,7,712274,Home Loan,754882,60,15.54,18173,Poor,3,0.99,70,15,7,195466,1735903,0.64,0,0,0,0,1,17,6,743492,1,106,30,2,949244.0,0.7952,0,,2019-04-30,2019Q2,,56,0,train
480,LOAN00480,52,679468,12,Single,PhD,16,326305,Business Loan,450667,36,10.18,14579,Average,0,0.96,10,47,4,2004040,1928072,0.96,3,0,0,0,0,117,0,426032,4,50,60,0,678820.0,0.6639,1,2021-12-21,2020-03-02,2020Q1,21.0,45,1,train
83,LOAN00083,48,648571,9,Married,High School,14,168650,Home Loan,1000966,36,12.68,33572,Poor,4,0.54,85,18,7,740187,1589566,0.99,0,0,0,0,1,121,0,142610,2,89,0,3,1687998.0,0.593,0,,2019-10-06,2019Q4,,50,0,train
51,LOAN00051,56,1412707,15,Divorced,Postgraduate,11,295057,Personal Loan,1053015,36,7.0,32514,Good,4,0.1,92,39,8,520900,80568,0.46,1,0,0,0,3,59,5,323990,7,47,90,3,,,1,2022-11-30,2021-11-28,2021Q4,12.0,25,1,train
215,LOAN00215,46,213865,23,Single,Graduate,1,269212,Home Loan,714025,24,11.87,33568,Average,4,0.09,21,92,1,1760469,1894844,0.12,1,0,0,0,0,149,7,248260,2,167,90,4,1112852.0,0.6416,0,,2021-10-24,2021Q4,,26,0,train
400,LOAN00400,39,1539858,2,Married,Graduate,19,839861,Home Loan,1213967,60,11.04,26418,Poor,0,0.37,89,38,9,2834370,2175378,0.4,1,0,0,0,0,164,8,933324,1,29,60,0,1942899.0,0.6248,0,,2020-08-07,2020Q3,,40,0,train
128,LOAN00128,31,1793314,2,Divorced,PhD,4,947259,Home Loan,60268,60,14.8,1427,Good,1,0.38,26,6,7,1286385,2313143,0.74,3,0,0,0,0,33,0,1006740,2,110,90,1,81795.0,0.7368,1,2021-08-27,2019-04-08,2019Q2,28.0,56,1,train
109,LOAN00109,34,1868952,23,Married,High School,17,204908,Home Loan,957576,36,10.09,30938,Average,0,0.67,38,45,5,1111677,209511,0.68,0,1,0,0,1,34,0,302883,2,23,90,0,1181629.0,0.8104,1,2020-07-24,2019-12-23,2019Q4,7.0,48,1,train
80,LOAN00080,62,819981,17,Married,PhD,6,359095,Personal Loan,1668313,12,15.1,150657,Good,0,0.2,27,69,11,1905461,1862434,0.67,1,1,1,1,0,107,8,323062,1,81,90,0,,,0,,2019-01-12,2019Q1,,59,0,train
440,LOAN00440,63,713280,26,Married,PhD,2,438779,Auto Loan,77425,36,14.15,2651,Good,1,0.24,90,6,3,2418654,1119567,0.02,0,1,0,0,0,148,2,476036,0,138,15,0,126850.0,0.6104,0,,2019-12-02,2019Q4,,48,0,train
287,LOAN00287,60,2444747,10,Married,PhD,7,985743,Auto Loan,1061321,12,10.94,93771,Poor,1,0.87,52,68,11,2033588,1583402,0.52,4,0,0,0,1,140,4,944911,4,42,60,0,1556599.0,0.6818,1,2022-10-04,2020-05-05,2020Q2,29.0,43,1,train
115,LOAN00115,31,1679645,14,Married,Graduate,2,964630,Home Loan,139947,12,13.37,12523,Average,3,0.77,37,23,11,2360036,1374561,0.69,0,0,0,0,2,68,9,966965,3,119,90,3,199390.0,0.7019,0,,2020-10-15,2020Q4,,38,0,train
380,LOAN00380,35,948538,9,Married,High School,17,471866,Auto Loan,1722506,24,14.23,82889,Good,2,0.79,17,56,10,2077277,317356,0.4,3,0,0,0,0,162,9,487777,1,115,60,1,2599901.0,0.6625,0,,2020-04-27,2020Q2,,44,0,train
348,LOAN00348,25,1590191,1,Single,High School,7,798147,Home Loan,1733321,48,17.13,50131,Good,2,0.62,63,37,8,1968935,2357619,0.13,1,0,0,0,1,178,6,845391,3,90,0,1,2490516.0,0.696,0,,2019-11-04,2019Q4,,49,0,train
47,LOAN00047,54,1618673,18,Single,Graduate,9,90880,Education Loan,84924,24,12.48,4016,Good,2,0.94,51,14,3,1411499,912604,0.54,4,0,0,0,1,225,8,65087,3,155,15,1,,,0,,2021-01-12,2021Q1,,35,0,train
23,LOAN00023,60,1236692,23,Divorced,High School,13,664019,Auto Loan,162649,36,13.4,5511,Poor,0,0.89,19,70,9,2911299,1490525,0.96,2,1,0,0,0,135,3,708934,7,123,60,0,248183.0,0.6554,1,2020-08-21,2020-03-19,2020Q1,5.0,45,1,train
239,LOAN00239,55,2148343,0,Married,Graduate,7,355155,Business Loan,71583,24,12.23,3377,Good,1,0.51,69,100,1,1698940,2213329,0.61,3,2,2,2,0,46,6,349950,3,53,90,0,109755.0,0.6522,0,,2020-09-21,2020Q3,,39,0,train
