variable,bin,woe,coefficient,score_points
Outstanding_Loans,"(-0.001, 2.0]",-0.0966,-1.004,-1.4
Outstanding_Loans,"(2.0, 3.0]",0.05,-1.004,2.8
Outstanding_Loans,"(3.0, 6.0]",0.4974,-1.004,15.8
Outstanding_Loans,"(6.0, 7.0]",-0.6947,-1.004,-18.8
Outstanding_Loans,"(7.0, 9.0]",0.0979,-1.004,4.2
Pay_History,Average,-0.1367,-0.9207,-2.3
Pay_History,Good,0.4546,-0.9207,13.4
Pay_History,Poor,-0.4655,-0.9207,-11.0
Delinquency_12M,"(-0.001, 1.0]",0.1256,-0.3167,2.5
Delinquency_12M,"(1.0, 3.0]",0.2072,-0.3167,3.3
Delinquency_12M,"(3.0, 5.0]",-0.7485,-0.3167,-5.5
Interest_Rate_Pct,"(10.994, 12.674]",0.4684,-0.9528,14.3
Interest_Rate_Pct,"(12.674, 14.234]",0.2164,-0.9528,7.3
Interest_Rate_Pct,"(14.234, 19.424]",-0.089,-0.9528,-1.1
Interest_Rate_Pct,"(6.999, 9.266]",-0.4462,-0.9528,-10.9
Interest_Rate_Pct,"(9.266, 10.994]",-0.089,-0.9528,-1.1
No_of_Inquiries_6M,"(-0.001, 2.0]",0.248,-0.9997,8.5
No_of_Inquiries_6M,"(2.0, 3.0]",-0.3407,-0.9997,-8.5
No_of_Inquiries_6M,"(3.0, 4.0]",-0.3837,-0.9997,-9.7
Loan_Type,Auto Loan,-0.2557,-0.7976,-4.5
Loan_Type,Business Loan,0.3621,-0.7976,9.7
Loan_Type,Education Loan,0.2799,-0.7976,7.8
Loan_Type,Home Loan,0.2308,-0.7976,6.7
Loan_Type,Personal Loan,-0.3365,-0.7976,-6.4
Total_Current_Balance,"(1406614.2, 1908540.0]",0.2164,-1.066,8.0
Total_Current_Balance,"(1908540.0, 2456259.15]",-0.089,-1.066,-1.4
Total_Current_Balance,"(25416.099, 498157.2]",-0.3759,-1.066,-10.2
Total_Current_Balance,"(498157.2, 952887.8]",-0.1619,-1.066,-3.6
Total_Current_Balance,"(952887.8, 1406614.2]",0.4684,-1.066,15.8
Transaction_Count_3M,"(115.0, 147.2]",-0.4807,-0.9784,-12.2
Transaction_Count_3M,"(147.2, 175.84]",0.2977,-0.9784,9.8
Transaction_Count_3M,"(38.8, 85.2]",0.1375,-0.9784,5.3
Transaction_Count_3M,"(85.2, 115.0]",0.1638,-0.9784,6.0
Transaction_Count_3M,"(9.999, 38.8]",-0.089,-0.9784,-1.1
Credit_Utilization_Ratio,"(0.019, 0.24]",0.453,-1.0145,14.6
Credit_Utilization_Ratio,"(0.24, 0.42]",-0.1487,-1.0145,-3.0
Credit_Utilization_Ratio,"(0.42, 0.64]",-0.3123,-1.0145,-7.8
Credit_Utilization_Ratio,"(0.64, 0.812]",-0.0253,-1.0145,0.6
Credit_Utilization_Ratio,"(0.812, 0.99]",0.0604,-1.0145,3.1
Marital_Status,Divorced,-0.1408,-0.8004,-1.9
Marital_Status,Married,-0.1744,-0.8004,-2.7
Marital_Status,Single,0.3921,-0.8004,10.4
Education_Level,Graduate,-0.2112,-0.6877,-2.8
Education_Level,High School,0.4738,-0.6877,10.8
Education_Level,PhD,0.0627,-0.6877,2.6
Education_Level,Postgraduate,-0.0955,-0.6877,-0.5
Employment_Years,"(-0.001, 4.8]",0.4684,-0.8213,12.5
Employment_Years,"(11.0, 18.0]",-0.1487,-0.8213,-2.2
Employment_Years,"(18.0, 24.0]",-0.282,-0.8213,-5.3
Employment_Years,"(24.0, 29.0]",0.047,-0.8213,2.5
Employment_Years,"(4.8, 11.0]",-0.0228,-0.8213,0.8
